listing_id,listing_name,host_id,host_name,neighbourhood_group,lat_lon,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2539,Clean & quiet apt home by the park,2787,John,"Kensington, Brooklyn",40.64749;-73.97237,Private room,"$149,00.-",1,9,19/10/18,0.21,6,365
2595,Skylit Midtown Castle,2845,Jennifer,"Midtown, Manhattan",40.75362;-73.98377,Entire home/apt,"$225,00.-",1,45,21/5/19,0.38,2,355
3647,THE VILLAGE OF HARLEM....NEW YORK !,4632,Elisabeth,"Harlem, Manhattan",40.80902;-73.9419,Private room,"$150,00.-",3,0,,,1,365
3831,Cozy Entire Floor of Brownstone,4869,LisaRoxanne,"Clinton Hill, Brooklyn",40.68514;-73.95976,Entire home/apt,"$89,00.-",1,270,5/7/19,4.64,1,194
5022,Entire Apt: Spacious Studio/Loft by central park,7192,Laura,"East Harlem, Manhattan",40.79851;-73.94399,Entire home/apt,"$80,00.-",10,9,19/11/18,0.1,1,0
5099,Large Cozy 1 BR Apartment In Midtown East,7322,Chris,"Murray Hill, Manhattan",40.74767;-73.975,Entire home/apt,"$200,00.-",3,74,22/6/19,0.59,1,129
5121,BlissArtsSpace!,7356,Garon,"Bedford-Stuyvesant, Brooklyn",40.68688;-73.95596,Private room,"$60,00.-",45,49,5/10/17,0.4,1,0
5121,BlissArtsSpace!,7356,Garon,"Bedford-Stuyvesant, Brooklyn",40.68688;-73.95596,Private room,"$60,00.-",45,49,5/10/17,0.4,1,0
5178,Large Furnished Room Near B'way ,8967,Shunichi,"Hell's Kitchen, Manhattan",40.76489;-73.98493,Private room,"$79,00.-",2,430,24/6/19,3.47,1,220
5203,Cozy Clean Guest Room - Family Apt,7490,MaryEllen,"Upper West Side, Manhattan",40.80178;-73.96723,Private room,"$79,00.-",2,118,21/7/17,0.99,1,0
5238,Cute & Cozy Lower East Side 1 bdrm,7549,Ben,"Chinatown, Manhattan",40.71344;-73.99037,Entire home/apt,"$150,00.-",1,160,9/6/19,1.33,4,188
5295,Beautiful 1br on Upper West Side,7702,Lena,"Upper West Side, Manhattan",40.80316;-73.96545,Entire home/apt,"$135,00.-",5,53,22/6/19,0.43,1,6
5441,Central Manhattan/near Broadway,7989,Kate,"Hell's Kitchen, Manhattan",40.76076;-73.98867,Private room,"$85,00.-",2,188,23/6/19,1.5,1,39
5803,"Lovely Room 1, Garden, Best Area, Legal rental",9744,Laurie,"South Slope, Brooklyn",40.66829;-73.98779,Private room,"$89,00.-",4,167,24/6/19,1.34,3,314
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,0,Claudio,"Upper West Side, Manhattan",40.79826;-73.96113,Private room,"$85,00.-",2,113,5/7/19,0.91,1,333
6090,West Village Nest - Superhost,11975,Alina,"West Village, Manhattan",40.7353;-74.00525,Entire home/apt,"$120,00.-",90,27,31/10/18,0.22,1,0
6848,Only 2 stops to Manhattan studio,15991,Allen & Irina,"Williamsburg, Brooklyn",40.70837;-73.95352,Entire home/apt,"$140,00.-",2,148,29/6/19,1.2,1,46
7097,Perfect for Your Parents + Garden,17571,Jane,"Fort Greene, Brooklyn",40.69169;-73.97185,Entire home/apt,"$215,00.-",2,198,28/6/19,1.72,1,321
7322,Chelsea Perfect,18946,Doti,"Chelsea, Manhattan",40.74192;-73.99501,Private room,"$140,00.-",1,260,1/7/19,2.12,1,12
7726,Hip Historic Brownstone Apartment with Backyard,20950,Adam And Charity,"Crown Heights, Brooklyn",40.67592;-73.94694,Entire home/apt,"$99,00.-",3,53,22/6/19,4.44,1,21
8110,CBG Helps Haiti Rm #2,22486,Lisel,"Park Slope, Brooklyn",40.68001;-73.97865,Private room,"$110,00.-",2,71,2/7/19,0.61,6,304
7750,Huge 2 BR Upper East  Cental Park,17985,Sing,"East Harlem, Manhattan",40.79685;-73.94872,Entire home/apt,"$190,00.-",7,0,,,2,249
7801,Sweet and Spacious Brooklyn Loft,21207,Chaya,"Williamsburg, Brooklyn",40.71842;-73.95718,Entire home/apt,"$299,00.-",3,9,28/12/11,0.07,1,0
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,22486,Lisel,"Park Slope, Brooklyn",40.68069;-73.97706,Private room,"$130,00.-",2,130,1/7/19,1.09,6,347
8025,CBG Helps Haiti Room#2.5,22486,Lisel,"Park Slope, Brooklyn",40.67989;-73.97798,Private room,"$80,00.-",1,39,1/1/19,0.37,6,364
8110,CBG Helps Haiti Rm #2,22486,Lisel,"Park Slope, Brooklyn",40.68001;-73.97865,Private room,"$110,00.-",2,71,2/7/19,0.61,6,304
8490,"MAISON DES SIRENES1,bohemian apartment",25183,Nathalie,"Bedford-Stuyvesant, Brooklyn",40.68371;-73.94028,Entire home/apt,"$120,00.-",2,88,19/6/19,0.73,2,233
8505,Sunny Bedroom Across Prospect Park,25326,Gregory,"Windsor Terrace, Brooklyn",40.65599;-73.97519,Private room,"$60,00.-",1,19,23/6/19,1.37,2,85
8700,Magnifique Suite au N de Manhattan - vue Cloitres,26394,Claude & Sophie,"Inwood, Manhattan",40.86754;-73.92639,Private room,"$80,00.-",4,0,,,1,0
9357,Midtown Pied-a-terre,30193,Tommi,"Hell's Kitchen, Manhattan",40.76715;-73.98533,Entire home/apt,"$150,00.-",10,58,13/8/17,0.49,1,75
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",31374,Shon,"Inwood, Manhattan",40.86482;-73.92106,Private room,"$44,00.-",3,108,15/6/19,1.11,3,311
9657,Modern 1 BR / NYC / EAST VILLAGE,21904,Dana,"East Village, Manhattan",40.7292;-73.98542,Entire home/apt,"$180,00.-",14,29,19/4/19,0.24,1,67
9668,front room/double bed,32294,Ssameer Or Trip,"Harlem, Manhattan",40.82245;-73.95104,Private room,"$50,00.-",3,242,1/6/19,2.04,3,355
9704,Spacious 1 bedroom in luxe building,32045,Teri,"Harlem, Manhattan",40.81305;-73.95466,Private room,"$52,00.-",2,88,14/6/19,1.42,1,255
9782,Loft in Williamsburg Area w/ Roof,32169,Andrea,"Greenpoint, Brooklyn",40.72219;-73.93762,Private room,"$55,00.-",4,197,15/6/19,1.65,3,284
9783,back room/bunk beds,32294,Ssameer Or Trip,"Harlem, Manhattan",40.8213;-73.95318,Private room,"$50,00.-",3,273,1/7/19,2.37,3,359
10452,Large B&B Style rooms,35935,Angela,"Bedford-Stuyvesant, Brooklyn",40.6831;-73.95473,Private room,"$70,00.-",1,74,12/5/19,0.66,2,269
10962,"Lovely room 2 & garden; Best area, Legal rental",9744,Laurie,"South Slope, Brooklyn",40.66869;-73.9878,Private room,"$89,00.-",4,168,21/6/19,1.41,3,340
11452,Clean and Quiet in Brooklyn,7355,Vt,"Bedford-Stuyvesant, Brooklyn",40.68876;-73.94312,Private room,"$35,00.-",60,0,,,1,365
11708,Cute apt in artist's home,44145,Tyrome,"Bushwick, Brooklyn",40.70186;-73.92745,Entire home/apt,"$85,00.-",2,231,22/6/19,1.96,2,22
11943,Country space in the city,0,Harriet,"Flatbush, Brooklyn",40.63702;-73.96327,Private room,"$150,00.-",1,0,,,1,365
12048,LowerEastSide apt share shortterm 1,7549,Ben,"Lower East Side, Manhattan",40.71401;-73.98917,Shared room,"$40,00.-",1,214,5/7/19,1.81,4,188
12192,ENJOY Downtown NYC!,46978,Edward,"East Village, Manhattan",40.7229;-73.98199,Private room,"$68,00.-",2,245,21/6/19,2.08,2,96
12299,Beautiful Sunny Park Slope Brooklyn,47610,Abdul,"South Slope, Brooklyn",40.66278;-73.97966,Entire home/apt,"$120,00.-",3,15,27/5/19,0.39,1,345
12303,1bdr w private bath. in lofty apt,47618,Yolande,"Fort Greene, Brooklyn",40.69673;-73.97584,Private room,"$120,00.-",7,25,30/9/18,0.23,1,311
12318,West Side Retreat,16800,Cyn,"Upper West Side, Manhattan",40.79009;-73.97927,Private room,"$135,00.-",4,81,16/6/19,0.69,1,273
12343,BEST BET IN HARLEM,47727,Earl,"Harlem, Manhattan",40.81175;-73.94478,Entire home/apt,"$150,00.-",7,97,13/6/19,0.84,1,3454
12627,Entire apartment in central Brooklyn neighborhood.,49670,Rana,"Prospect-Lefferts Gardens, Brooklyn",40.65944;-73.96238,Entire home/apt,"$150,00.-",29,11,5/6/19,0.49,1,95
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",50124,Orestes,"Long Island City, Queens",40.74771;-73.9474,Private room,"$130,00.-",3,248,1/7/19,2.25,1,215
12940,Charming Brownstone 3 - Near PRATT,50148,Adreinne,"Bedford-Stuyvesant, Brooklyn",40.68111;-73.95591,Entire home/apt,"$110,00.-",7,61,25/5/19,0.52,1,265
13050,bright and stylish duplex,50846,Jennifer,"Bedford-Stuyvesant, Brooklyn",40.68554;-73.9409,Entire home/apt,"$115,00.-",3,11,1/1/17,0.1,1,0
13394,Fort Greene brownstone ,52335,Alexander,"Fort Greene, Brooklyn",40.69142;-73.97376,Private room,"$80,00.-",3,135,17/6/19,1.16,2,192
13808,Blue Room for 2 in Brownstone for $1350 monthly,54275,JT And Tiziana,"Bedford-Stuyvesant, Brooklyn",40.68043;-73.93934,Private room,"$80,00.-",1,112,16/6/19,1.01,3,251
14287,Cozy 1BD on Central Park West in New York City,56094,Joya,"Upper West Side, Manhattan",40.78635;-73.97008,Entire home/apt,"$151,00.-",2,73,7/7/19,0.63,1,302
14290,* ORIGINAL BROOKLYN LOFT *,56104,James,"Williamsburg, Brooklyn",40.7042;-73.9356,Entire home/apt,"$228,00.-",3,82,17/5/19,0.7,1,140
14314,Greenpoint Place...Has It All! ,56246,Jeanne,"Greenpoint, Brooklyn",40.73506;-73.95392,Entire home/apt,"$144,00.-",2,328,29/6/19,2.82,1,234
14322,Beautiful Apartment in Manhattan!!!,56284,Francesca,"Kips Bay, Manhattan",40.73961;-73.98074,Entire home/apt,"$200,00.-",7,19,25/3/19,0.22,1,257
14377,Williamsburg 1 bedroom Apartment,56512,Joanna,"Williamsburg, Brooklyn",40.70881;-73.9593,Entire home/apt,"$150,00.-",30,105,22/6/19,0.9,1,30
14991,"Great Location, Manhattan Bedroom!",59023,Bianca,"Lower East Side, Manhattan",40.72004;-73.99104,Private room,"$110,00.-",5,19,18/5/19,0.17,1,301
15220,Best Location in NYC! TIMES SQUARE!,59734,Luiz,"Hell's Kitchen, Manhattan",40.75531;-73.99293,Private room,"$69,00.-",2,289,9/6/19,2.49,2,294
15338,Room in Greenpoint Loft w/ Roof,32169,Andrea,"Greenpoint, Brooklyn",40.72401;-73.93788,Private room,"$49,00.-",4,138,4/6/19,1.19,3,320
15341,**Bright Nolita Apt w Doorman/Elevators/Gym**,60049,Ted,"SoHo, Manhattan",40.7221;-73.99775,Entire home/apt,"$180,00.-",30,21,29/6/19,0.3,1,154
15385,"Very, very cozy place",60252,Cristina,"Williamsburg, Brooklyn",40.71185;-73.96204,Private room,"$80,00.-",2,42,30/6/19,0.38,1,5234
15396,Sunny & Spacious Chelsea Apartment,60278,Petra,"Chelsea, Manhattan",40.74623;-73.9953,Entire home/apt,"$375,00.-",180,5,3/11/18,0.12,1,180
15711,2 bedroom - Upper East Side-great for kids,61491,D,"Upper East Side, Manhattan",40.77065;-73.95269,Entire home/apt,"$250,00.-",2,66,30/3/19,0.57,2,231
16326,Comfortable 4-bedroom apt in family house.,63588,Dimitri,"Prospect Heights, Brooklyn",40.67811;-73.96428,Entire home/apt,"$200,00.-",30,143,26/1/19,1.33,2,297
16338,Double Room w Private Deck Clinton Hill Best Area,63613,Patricia,"Clinton Hill, Brooklyn",40.69;-73.96788,Private room,"$55,00.-",7,27,30/9/17,0.23,2,292
16421,Your Heaven in Hells Kitchen,63924,Mark,"Hell's Kitchen, Manhattan",40.75979;-73.99119,Private room,"$52,00.-",30,191,16/5/19,1.65,1,191
16458,Light-filled 2B duplex in the heart of Park Slope!,64056,Sara,"Park Slope, Brooklyn",40.67343;-73.98338,Entire home/apt,"$225,00.-",3,4,24/9/17,0.16,1,0
16580,"Sunny, Modern room in East Village!",64442,Reka,"East Village, Manhattan",40.72649;-73.97904,Private room,"$80,00.-",1,338,1/7/19,4.72,2,72
16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,64522,Daniel,"Williamsburg, Brooklyn",40.70933;-73.96792,Entire home/apt,"$275,00.-",1,148,23/6/19,1.4,1,362
16821,Large Room in Amazing East Village Apt,4396,Casey,"East Village, Manhattan",40.72298;-73.98474,Private room,"$99,00.-",1,106,21/6/19,1.26,2,336
16974,SpaHa Loft: Enormous and Bright,65837,Robin,"East Harlem, Manhattan",40.80164;-73.93922,Entire home/apt,"$225,00.-",4,190,23/6/19,1.64,1,215
17037,Lovely EV Artist's Home,66035,Anna,"East Village, Manhattan",40.72162;-73.98008,Entire home/apt,"$230,00.-",9,49,14/5/18,0.43,1,116
17092,Cool Room in Hell's Kitchen,66243,Enzo,"Hell's Kitchen, Manhattan",40.76342;-73.98865,Private room,"$51,00.-",7,23,1/6/19,0.43,1,88
17693,"HARLEM, NEW YORK WELCOMES YOU!!",68428,Tye And Etienne,"Washington Heights, Manhattan",40.83139;-73.94095,Private room,"$65,00.-",2,49,18/6/19,1.6,2,336
17747,BLUE TRIM GUEST HOUSE,68599,George,"Clinton Hill, Brooklyn",40.68346;-73.96374,Private room,"$105,00.-",2,105,26/6/19,0.92,1,304
18127,Charming East Village One Bedroom Flat,69829,Josh,"East Village, Manhattan",40.72828;-73.98801,Entire home/apt,"$190,00.-",5,21,2/1/19,0.2,1,224
18152,Manhattan Room,69942,Victoria,"Upper East Side, Manhattan",40.76865;-73.95058,Private room,"$200,00.-",1,142,6/7/19,1.5,1,322
18198,Little King of Queens,70091,Justin,"Woodside, Queens",40.75038;-73.90334,Private room,"$70,00.-",30,25,31/5/19,0.22,1,324
18590,Fort Greene Retreat on the Park,71512,Blaise,"Fort Greene, Brooklyn",40.6932;-73.97267,Private room,"$95,00.-",3,143,16/6/19,1.28,1,132
18728,Beautiful Meatpacking District Loft,71876,DAVID And RICK,"Chelsea, Manhattan",40.74138;-74.00197,Private room,"$150,00.-",3,167,28/5/19,1.65,1,295
18764,Cozy 2 BR in Williamsburg ,72014,Lulú,"Williamsburg, Brooklyn",40.71154;-73.96112,Private room,"$145,00.-",3,61,22/4/19,0.54,4,238
19159,Spacious luminous apt Upper West NYC,73051,Sybilla,"Harlem, Manhattan",40.82915;-73.95136,Entire home/apt,"$110,00.-",31,54,23/3/19,0.49,1,209
19169,Entire 2 Bedroom - Large & Sunny,73128,JoLynn,"Lower East Side, Manhattan",40.71851;-73.98892,Entire home/apt,"$285,00.-",5,70,30/6/19,0.62,1,328
19282,"Sunny, Spacious Top Floor Haven",0,Gaia,"Flatbush, Brooklyn",40.65401;-73.96323,Entire home/apt,"$130,00.-",6,16,15/6/19,0.15,1,38
19319,Private room Great Deal at Lower East Side,44263,Ana,"Lower East Side, Manhattan",40.7114;-73.98794,Private room,"$94,00.-",30,94,8/4/19,0.84,1,188
19601,perfect for a family or small group,74303,Maggie,"Brooklyn Heights, Brooklyn",40.69723;-73.99268,Entire home/apt,"$800,00.-",1,25,4/8/16,0.24,1,7
19812,2 bedroom Williamsburg Apt - Bedford L stop,74857,Starlee,"Williamsburg, Brooklyn",40.71833;-73.95748,Entire home/apt,"$105,00.-",3,61,9/8/18,0.53,1,272
20299,Oh glorious spring!,62407,Edward,"East Village, Manhattan",40.72334;-73.9844,Private room,"$60,00.-",3,194,30/6/19,1.73,1,26
20300,Great Location for NYC,76627,Pas,"East Village, Manhattan",40.72912;-73.98057,Private room,"$50,00.-",1,2,14/2/16,0.05,1,0
20611,Cozy Bedroom in Williamsburg 3 BR,72014,Lulú,"Williamsburg, Brooklyn",40.71156;-73.96218,Private room,"$85,00.-",3,174,22/6/19,1.54,4,288
20724,Sunny room+Pvte office in huge loft,961342,Augustin,"Bushwick, Brooklyn",40.70032;-73.9383,Private room,"$65,00.-",4,24,26/5/19,0.28,1,317
20734,Spacious Prospect Heights Apartment,78460,Sean & Lynette,"Prospect Heights, Brooklyn",40.68233;-73.97261,Entire home/apt,"$131,00.-",4,166,27/6/19,3.4,1,207
20755,"Large Parlor Room, Landmark Home 1 block to PRATT",51038,Erica,"Clinton Hill, Brooklyn",40.68634;-73.966,Private room,"$98,00.-",7,16,31/5/19,0.2,6,185
20853,2-bed brownstone duplex + garden,79070,Tracy,"Prospect Heights, Brooklyn",40.68035;-73.97162,Entire home/apt,"$250,00.-",7,21,21/5/19,0.3,1,158
20913,Charming 1 bed GR8 WBurg LOCATION!,79402,Christiana,"Williamsburg, Brooklyn",40.70984;-73.95775,Entire home/apt,"$100,00.-",5,168,22/7/18,1.57,1,0
21293,Sunny Apartment in Artist Home,44145,Tyrome,"Bushwick, Brooklyn",40.70093;-73.92609,Entire home/apt,"$105,00.-",3,118,18/6/19,1.05,2,9
21456,Light-filled classic Central Park ,42032,Dana,"Upper West Side, Manhattan",40.79764;-73.96177,Entire home/apt,"$140,00.-",3,81,7/7/19,0.71,1,198
21644,"Upper Manhattan, New York",82685,Elliott,"Harlem, Manhattan",40.82803;-73.94731,Private room,"$89,00.-",1,1,9/10/18,0.11,1,365
21794,COZY QUIET room 4 DOOGLERS!,83257,Olan,"Chelsea, Manhattan",40.74008;-74.00271,Private room,"$98,00.-",30,30,1/5/19,0.27,2,364
22911,The Stuydio Modern and Light Filled,87773,Shelly,"Bedford-Stuyvesant, Brooklyn",40.68413;-73.92357,Entire home/apt,"$125,00.-",7,139,28/10/18,1.23,2,311
22918,loft bed - near transportation-15min to times sq,32294,Ssameer Or Trip,"Harlem, Manhattan",40.82279;-73.95139,Private room,"$60,00.-",3,11,3/1/19,0.87,3,219
23135,House On Henry (3rd FLR Suite),11481,Annette,"Carroll Gardens, Brooklyn",40.67967;-74.00154,Entire home/apt,"$175,00.-",2,233,24/6/19,2.09,3,342
23501,Monkey Retreat Manhattan,63318,Meka,"Washington Heights, Manhattan",40.83927;-73.94281,Private room,"$65,00.-",2,68,1/11/12,0.6,1,312
23686,2000 SF 3br 2bath West Village private  townhouse,93790,Ann,"West Village, Manhattan",40.73096;-74.00319,Entire home/apt,"$500,00.-",4,46,18/5/19,0.55,2,243
24143,"Williamsburg—Steps To Subway, Private Bath&Balcony",97219,Seth,"Williamsburg, Brooklyn",40.71332;-73.94177,Private room,"$101,00.-",3,335,29/5/19,3.02,1,152
24285,Beautiful Duplex Apartment,97797,Brenda,"Park Slope, Brooklyn",40.66941;-73.98109,Entire home/apt,"$220,00.-",30,88,2/11/18,0.79,1,9
25235,Large 2 Bedroom Great for Groups!,87773,Shelly,"Bedford-Stuyvesant, Brooklyn",40.68373;-73.92377,Entire home/apt,"$125,00.-",90,162,28/6/19,1.46,2,137
25406,"Modern Brooklyn Apt., August sublet",105538,Erik,"Williamsburg, Brooklyn",40.71459;-73.94844,Entire home/apt,"$80,00.-",30,29,26/5/18,0.4,1,222
25696,"1,800 sq foot in luxury building",107628,Dena,"Harlem, Manhattan",40.8092;-73.94421,Private room,"$100,00.-",2,170,23/6/19,1.61,1,346
26012,Sunny 2-story Brooklyn townhouse w deck and garden,109589,Jessica,"Gowanus, Brooklyn",40.68157;-73.98989,Entire home/apt,"$200,00.-",30,19,17/3/17,0.2,1,208
26362,"Times Square, Safe, Clean and Cozy!",59734,Luiz,"Hell's Kitchen, Manhattan",40.75527;-73.99291,Private room,"$59,00.-",2,334,16/6/19,3,2,279
26520,"Cozy Room #3, Landmark Home 1 Block to PRATT",51038,Erica,"Clinton Hill, Brooklyn",40.68698;-73.96572,Private room,"$125,00.-",2,19,2/6/19,0.2,6,250
26559,Beautiful Apartment East Village,112793,Sally,"East Village, Manhattan",40.7288;-73.98192,Entire home/apt,"$140,00.-",7,12,11/12/17,0.13,1,164
26785,Park Slope Green Guest House,42273,Dani,"South Slope, Brooklyn",40.66853;-73.98912,Entire home/apt,"$120,00.-",30,467,30/12/18,4.22,2,192
26933,2 BR / 2 Bath Duplex Apt with patio! East Village,72062,Bruce,"East Village, Manhattan",40.7254;-73.98157,Entire home/apt,"$350,00.-",2,7,9/8/17,0.06,4,298
26954,NYC fabulous views Manhattan's eye,115157,Nimo,"Kips Bay, Manhattan",40.74294;-73.98009,Entire home/apt,"$199,00.-",5,38,2/12/15,0.38,1,260
26969,2 story family home in Williamsburg,115307,Alexandra,"Williamsburg, Brooklyn",40.71942;-73.95748,Entire home/apt,"$325,00.-",3,324,23/6/19,3.01,1,107
27006,Comfortable UWS 2-BD Family-Friendly Brownstone,115560,Stacy,"Upper West Side, Manhattan",40.77823;-73.97637,Entire home/apt,"$235,00.-",6,27,27/4/19,0.27,1,199
27385,Great Large 1 BR apt  in East Village!,72062,Bruce,"East Village, Manhattan",40.72555;-73.97965,Entire home/apt,"$225,00.-",1,115,7/6/19,1.05,4,299
27531,Eveland Private Bed & Living Room w/ Own Entrance,118971,Evelyn,"South Slope, Brooklyn",40.66831;-73.98604,Private room,"$99,00.-",2,354,20/5/19,3.2,3,20
27644,Sugar Hill Rest Stop ,119510,Emma,"Harlem, Manhattan",40.82754;-73.94919,Entire home/apt,"$170,00.-",2,195,1/7/19,2.03,1,318
27659,3 Story Town House in Park Slope,119588,Vero,"South Slope, Brooklyn",40.66499;-73.97925,Entire home/apt,"$400,00.-",2,16,30/12/18,0.24,2,216
27759,apartment next to Central park,119900,Sylvie,"Upper West Side, Manhattan",40.77842;-73.97556,Entire home/apt,"$170,00.-",7,13,26/6/19,0.12,1,224
27883,East Village Sanctuary,120223,Jen,"East Village, Manhattan",40.72245;-73.98527,Entire home/apt,"$100,00.-",4,25,10/12/11,0.23,1,0
28321,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,65091,Kay,"Prospect-Lefferts Gardens, Brooklyn",40.65593;-73.96053,Private room,"$75,00.-",2,9,5/10/18,0.08,1,324
28396,Modern Apt with Spectacular Views,6197784,Jo,"Williamsburg, Brooklyn",40.71923;-73.96468,Private room,"$90,00.-",1,9,18/9/11,0.08,1,245
28907,Garden studio in the Upper East Sid,124352,Lisa,"Upper East Side, Manhattan",40.778;-73.94822,Entire home/apt,"$150,00.-",5,21,15/8/17,0.19,1,189
29012,Secluded Master Bedroom in Beautiful Huge Apt,124797,Fernando And Lenin,"Washington Heights, Manhattan",40.85879;-73.93128,Private room,"$85,00.-",15,36,17/8/17,0.33,1,307
29013,B & B Room 1,35935,Angela,"Bedford-Stuyvesant, Brooklyn",40.68332;-73.9547,Private room,"$70,00.-",3,63,14/5/19,0.58,2,310
29455,ACCOMMODATIONS GALORE #1,126607,Laurine,"Harlem, Manhattan",40.81618;-73.94894,Entire home/apt,"$120,00.-",3,155,20/6/19,1.42,3,213
29628,Sunny Room in New Condo,127608,Chris,"Clinton Hill, Brooklyn",40.68414;-73.96351,Private room,"$89,00.-",3,260,3/7/19,2.35,1,278
29683,Stylish & Sleek Apartment Near SoHo!,125857,Uli,"East Village, Manhattan",40.72392;-73.99143,Entire home/apt,"$185,00.-",5,73,25/6/19,0.66,1,209
